項次,清運序,行政區,清運路線名稱,清運點名稱,一般垃圾清運時間,廚餘回收清運時間,資源回收清運時間
2878,25,中壢區,路三班  第12區,中正路三段220巷,星期一二四五六:19:25,星期一二四五六:19:25,星期二四六:19:25
2879,26,中壢區,路三班  第12區,崇德三路408巷,星期一二四五六:19:30,星期一二四五六:19:30,星期二四六:19:30
2880,27,中壢區,路三班  第12區,崇德二路239巷,星期一二四五六:19:35,星期一二四五六:19:35,星期二四六:19:35
2881,28,中壢區,路三班  第12區,崇德二路226巷85弄,星期一二四五六:19:40,星期一二四五六:19:40,星期二四六:19:40
2882,29,中壢區,路三班  第12區,高鐵南路三段790巷,星期一二四五六:19:50,星期一二四五六:19:50,星期二四六:19:50
2883,30,中壢區,路三班  第12區,高鐵南路三段727巷,星期一二四五六:19:55,星期一二四五六:19:55,星期二四六:19:55
2884,31,中壢區,路三班  第12區,聖德路一段295巷,星期一二四五六:20:00,星期一二四五六:20:00,星期二四六:20:00
2885,1,中壢區,路三班  第13區,民權路五段278號,星期一二四五六:16:57,星期一二四五六:16:57,星期一四五:16:57
2886,2,中壢區,路三班  第13區,民溪六路,星期一二四五六:17:02,星期一二四五六:17:02,星期一四五:17:02
2887,3,中壢區,路三班  第13區,民溪三路,星期一二四五六:17:12,星期一二四五六:17:12,星期一四五:17:12
2888,4,中壢區,路三班  第13區,聖溪二路216巷,星期一二四五六:17:21,星期一二四五六:17:21,星期一四五:17:21
2889,5,中壢區,路三班  第13區,聖溪二路29巷,星期一二四五六:17:23,星期一二四五六:17:23,星期一四五:17:23
2890,6,中壢區,路三班  第13區,月桃路11巷12巷,星期一二四五六:17:30,星期一二四五六:17:30,星期一四五:17:30
2891,7,中壢區,路三班  第13區,聖德路一段376巷,星期一二四五六:17:38,星期一二四五六:17:38,星期一四五:17:38
2892,8,中壢區,路三班  第13區,五聖路,星期一二四五六:17:40,星期一二四五六:17:40,星期一四五:17:40
2893,9,中壢區,路三班  第13區,中正路二段363巷,星期一二四五六:17:46,星期一二四五六:17:46,星期一四五:17:46
2894,10,中壢區,路三班  第13區,內厝三路199巷,星期一二四五六:17:50,星期一二四五六:17:50,星期一四五:17:50
2895,11,中壢區,路三班  第13區,內厝五路,星期一二四五六:17:56,星期一二四五六:17:56,星期一四五:17:56
2896,12,中壢區,路三班  第13區,內厝六路291巷,星期一二四五六:18:00,星期一二四五六:18:00,星期一四五:18:00
2897,13,中壢區,路三班  第13區,內厝六路552號,星期一二四五六:18:05,星期一二四五六:18:05,星期一四五:18:05
2898,14,中壢區,路三班  第13區,大圳路三段51巷(ㄧ品苑),星期一二四五六:18:08,星期一二四五六:18:08,星期一四五:18:08
2899,15,中壢區,路三班  第13區,高鐵南路四段330巷（皇郡）,星期一二四五六:18:13,星期一二四五六:18:13,星期一四五:18:13
2900,16,中壢區,路三班  第13區,天德宮,星期一二四五六:18:20,星期一二四五六:18:20,星期一四五:18:20
2901,17,中壢區,路三班  第13區,福嶺路二段321號,星期一二四五六:18:50,星期一二四五六:18:50,星期一四五:18:50
2902,18,中壢區,路三班  第13區,中正路四段147巷,星期一二四五六:18:55,星期一二四五六:18:55,星期一四五:18:55
2903,19,中壢區,路三班  第13區,中正路四段225巷,星期一二四五六:19:00,星期一二四五六:19:00,星期一四五:19:00
2904,20,中壢區,路三班  第13區,中正路四段171巷,星期一二四五六:19:03,星期一二四五六:19:03,星期一四五:19:03
2905,21,中壢區,路三班  第13區,中正路四段88巷,星期一二四五六:19:06,星期一二四五六:19:06,星期一四五:19:06
2906,22,中壢區,路三班  第13區,中正路三段316巷,星期一二四五六:19:08,星期一二四五六:19:08,星期一四五:19:08
2907,23,中壢區,路三班  第13區,崇德路176巷,星期一二四五六:19:12,星期一二四五六:19:12,星期一四五:19:12
2908,24,中壢區,路三班  第13區,崇德一路151巷(國王與我),星期一二四五六:19:15,星期一二四五六:19:15,星期一四五:19:15
2909,25,中壢區,路三班  第13區,福嶺路二段206號(陽光社區),星期一二四五六:19:20,星期一二四五六:19:20,星期一四五:19:20
2910,26,中壢區,路三班  第13區,福嶺路一段262巷,星期一二四五六:19:28,星期一二四五六:19:28,星期一四五:19:28
2911,27,中壢區,路三班  第13區,大享街一段786巷,星期一二四五六:19:31,星期一二四五六:19:31,星期一四五:19:31
2912,28,中壢區,路三班  第13區,大享街一段500巷(拾翠社區),星期一二四五六:19:35,星期一二四五六:19:35,星期一四五:19:35
2913,29,中壢區,路三班  第13區,大享街一段232號,星期一二四五六:19:38,星期一二四五六:19:38,星期一四五:19:38
2914,30,中壢區,路三班  第13區,三民路一段27巷,星期一二四五六:19:45,星期一二四五六:19:45,星期一四五:19:45
2915,31,中壢區,路三班  第13區,民族路三段208巷,星期一二四五六:19:47,星期一二四五六:19:47,星期一四五:19:47
2916,32,中壢區,路三班  第13區,民族路三段222巷,星期一二四五六:19:50,星期一二四五六:19:50,星期一四五:19:50
2917,33,中壢區,路三班  第13區,民族路三段238巷,星期一二四五六:19:52,星期一二四五六:19:52,星期一四五:19:52
2918,1,中壢區,路三班  第14區,過嶺路155巷,星期一二四五六:16:15,星期一二四五六:16:15,星期一五六:16:15
2919,2,中壢區,路三班  第14區,福達路二段205巷,星期一二四五六:17:00,星期一二四五六:17:00,星期一五六:17:00
2920,3,中壢區,路三班  第14區,福田路,星期一二四五六:17:03,星期一二四五六:17:03,星期一五六:17:03
2921,4,中壢區,路三班  第14區,中觀路二段142巷,星期一二四五六:17:12,星期一二四五六:17:12,星期一五六:17:12
2922,5,中壢區,路三班  第14區,福恩路,星期一二四五六:17:15,星期一二四五六:17:15,星期一五六:17:15
2923,6,中壢區,路三班  第14區,城中央社區,星期一二四五六:17:25,星期一二四五六:17:25,星期一五六:17:25
2924,7,中壢區,路三班  第14區,福嶺路95巷,星期一二四五六:17:35,星期一二四五六:17:35,星期一五六:17:35
2925,8,中壢區,路三班  第14區,松平二街. 松平路,星期一二四五六:17:40,星期一二四五六:17:40,星期一五六:17:40
2926,9,中壢區,路三班  第14區,民族路六段576巷,星期一二四五六:17:45,星期一二四五六:17:45,星期一五六:17:45
2927,10,中壢區,路三班  第14區,中觀路一段632巷,星期一二四五六:17:55,星期一二四五六:17:55,星期一五六:17:55
2928,11,中壢區,路三班  第14區,過嶺路二段,星期一二四五六:17:58,星期一二四五六:17:58,星期一五六:17:58
2929,12,中壢區,路三班  第14區,松仁路松智二.三街. ,星期一二四五六:18:05,星期一二四五六:18:05,星期一五六:18:05
2930,13,中壢區,路三班  第14區,松仁路、松義三街,星期一二四五六:18:10,星期一二四五六:18:10,星期一五六:18:10
2931,14,中壢區,路三班  第14區,松義二街.大清哈佛,星期一二四五六:18:15,星期一二四五六:18:15,星期一五六:18:15
2932,15,中壢區,路三班  第14區,松義三街、松勇路口,星期一二四五六:18:20,星期一二四五六:18:20,星期一五六:18:20
2933,16,中壢區,路三班  第14區,松勤路,星期一二四五六:18:25,星期一二四五六:18:25,星期一五六:18:25
2934,17,中壢區,路三班  第14區,松德一街.松信. 松信二街,星期一二四五六:18:30,星期一二四五六:18:30,星期一五六:18:30
2935,18,中壢區,路三班  第14區,民族路五段6號,星期一二四五六:18:50,星期一二四五六:18:50,星期一五六:18:50
2936,19,中壢區,路三班  第14區,過嶺路一段,星期一二四五六:18:53,星期一二四五六:18:53,星期一五六:18:53
2937,20,中壢區,路三班  第14區,民族路五段98巷,星期一二四五六:19:00,星期一二四五六:19:00,星期一五六:19:00
2938,21,中壢區,路三班  第14區,民族路330號（松仁路口）,星期一二四五六:19:05,星期一二四五六:19:05,星期一五六:19:05
2939,22,中壢區,路三班  第14區,民族路478號（松勇路口）,星期一二四五六:19:10,星期一二四五六:19:10,星期一五六:19:10
2940,23,中壢區,路三班  第14區,民族路六段270號,星期一二四五六:19:15,星期一二四五六:19:15,星期一五六:19:15
2941,24,中壢區,路三班  第14區,雙塘路,星期一二四五六:19:17,星期一二四五六:19:17,星期一五六:19:17
2942,25,中壢區,路三班  第14區,民族路六段422號,星期一二四五六:19:22,星期一二四五六:19:22,星期一五六:19:22
2943,26,中壢區,路三班  第14區,民族路六段644號,星期一二四五六:19:25,星期一二四五六:19:25,星期一五六:19:25
2944,27,中壢區,路三班  第14區,民族路5段408號,星期一二四五六:19:32,星期一二四五六:19:32,星期一五六:19:32
2945,28,中壢區,路三班  第14區,中央路,星期一二四五六:20:10,星期一二四五六:20:10,星期一五六:20:10
2946,1,中壢區,配套路線1,興仁路二段663號對面,星期一二四五六:07:00,星期一二四五六:07:00,
2947,2,中壢區,配套路線1,興仁路二段463巷口,星期一二四五六:07:11,星期一二四五六:07:11,
2948,3,中壢區,配套路線1,興仁路二段279巷,星期一二四五六:07:16,星期一二四五六:07:16,
2949,4,中壢區,配套路線1,興仁路與興安一街口,星期一二四五六:07:19,星期一二四五六:07:19,
2950,5,中壢區,配套路線1,興仁路一段遠東路口,星期一二四五六:07:20,星期一二四五六:07:20,
2951,6,中壢區,配套路線1,遠東路57巷口,星期一二四五六:07:31,星期一二四五六:07:31,
2952,7,中壢區,配套路線1,興仁路一段22號前,星期一二四五六:07:45,星期一二四五六:07:45,
2953,8,中壢區,配套路線1,普騰街38巷口,星期一二四五六:08:05,星期一二四五六:08:05,
2954,9,中壢區,配套路線1,莊敬路自立二街路口,星期一二四五六:08:17,星期一二四五六:08:17,
2955,10,中壢區,配套路線1,自立國宅D棟,星期一二四五六:08:30,星期一二四五六:08:30,
2956,11,中壢區,配套路線1,自立國宅D棟警衛亭,星期一二四五六:08:38,星期一二四五六:08:38,
2957,12,中壢區,配套路線1,自立國宅A棟,星期一二四五六:08:40,星期一二四五六:08:40,
2958,13,中壢區,配套路線1,復華六街33號(內壢國中圍牆旁),星期一二四五六:09:14,星期一二四五六:09:14,
2959,14,中壢區,配套路線1,復華街活動中心對面,星期一二四五六:09:20,星期一二四五六:09:20,
2960,15,中壢區,配套路線1,復華九街第凡內對面,星期一二四五六:09:32,星期一二四五六:09:32,
2961,16,中壢區,配套路線1,長樂四街口,星期一二四五六:09:40,星期一二四五六:09:40,
2962,17,中壢區,配套路線1,忠孝路153號前,星期一二四五六:09:47,星期一二四五六:09:47,
2963,18,中壢區,配套路線1,成功路156巷65號,星期一二四五六:09:57,星期一二四五六:09:57,
2964,19,中壢區,配套路線1,興華二村(立青汽車教練班旁),星期一二四五六:10:07,星期一二四五六:10:07,
2965,20,中壢區,配套路線1,成章二街437巷,星期一二四五六:10:15,星期一二四五六:10:15,
2966,21,中壢區,配套路線1,文化路吉林二路口,星期一二四五六:10:27,星期一二四五六:10:27,
2967,22,中壢區,配套路線1,吉林二路61巷口,星期一二四五六:10:30,星期一二四五六:10:30,
2968,23,中壢區,配套路線1,吉林二路135巷口,星期一二四五六:10:40,星期一二四五六:10:40,
2969,24,中壢區,配套路線1,福德路,星期一二四五六:11:40,星期一二四五六:11:40,
2970,25,中壢區,配套路線1,成功路,星期一二四五六:11:45,星期一二四五六:11:45,
2971,26,中壢區,配套路線1,華勛市場,星期一二四五六:12:45,星期一二四五六:12:45,
2972,1,中壢區,配套路線2,華勛街37巷36號,星期一二四五六:07:05,星期一二四五六:07:05,
2973,2,中壢區,配套路線2,仁德三街與仁德四街口,星期一二四五六:07:20,星期一二四五六:07:20,
2974,3,中壢區,配套路線2,晉元路國王花園,星期一二四五六:07:33,星期一二四五六:07:33,
2975,4,中壢區,配套路線2,華祥二街7號前(公園旁),星期一二四五六:07:45,星期一二四五六:07:45,
2976,5,中壢區,配套路線2,華勛街309巷口(配2),星期一二四五六:07:57,星期一二四五六:07:57,
2977,6,中壢區,配套路線2,同慶路黎明公園旁,星期一二四五六:08:10,星期一二四五六:08:10,
2978,7,中壢區,配套路線2,中山東路四段1巷(聖心幼稚園),星期一二四五六:08:22,星期一二四五六:08:22,
2979,8,中壢區,配套路線2,中山東路三段329號,星期一二四五六:08:30,星期一二四五六:08:30,
2980,9,中壢區,配套路線2,中山東路三段285號,星期一二四五六:08:32,星期一二四五六:08:32,
2981,10,中壢區,配套路線2,仁慈街96巷口,星期一二四五六:08:40,星期一二四五六:08:40,
2982,11,中壢區,配套路線2,中山東路二段441巷,星期一二四五六:08:50,星期一二四五六:08:50,
2983,12,中壢區,配套路線2,普光街139號旁,星期一二四五六:09:02,星期一二四五六:09:02,
2984,13,中壢區,配套路線2,中山東路二段323巷26號對面,星期一二四五六:09:15,星期一二四五六:09:15,
2985,14,中壢區,配套路線2,莒光路民有街口,星期一二四五六:09:25,星期一二四五六:09:25,
2986,15,中壢區,配套路線2,國泰街利民路口,星期一二四五六:09:40,星期一二四五六:09:40,
2987,16,中壢區,配套路線2,甘肅一街嘉興街口,星期一二四五六:09:55,星期一二四五六:09:55,
2988,17,中壢區,配套路線2,徐州街福州街口,星期一二四五六:09:57,星期一二四五六:09:57,
2989,18,中壢區,配套路線2,廈門街惠州街口,星期一二四五六:10:15,星期一二四五六:10:15,
2990,19,中壢區,配套路線2,珠江街吉長街口,星期一二四五六:10:25,星期一二四五六:10:25,
2991,20,中壢區,配套路線2,林森路執信一街口,星期一二四五六:10:40,星期一二四五六:10:40,
2992,21,中壢區,配套路線2,龍岡路二段415號,星期一二四五六:10:30,星期一二四五六:10:30,
2993,22,中壢區,配套路線2,龍岡路二段363號(北帝國),星期一二四五六:11:03,星期一二四五六:11:03,
2994,1,中壢區,配套路線3,新明路157巷,星期一二四五六:07:18,星期一二四五六:07:18,
2995,2,中壢區,配套路線3,三光路407號,星期一二四五六:07:25,星期一二四五六:07:25,
2996,3,中壢區,配套路線3,三光路349號,星期一二四五六:07:28,星期一二四五六:07:28,
2997,4,中壢區,配套路線3,興國市場,星期一二四五六:07:40,星期一二四五六:07:40,
2998,5,中壢區,配套路線3,元化路47號,星期一二四五六:07:46,星期一二四五六:07:46,
2999,6,中壢區,配套路線3,慈惠一街59號,星期一二四五六:07:59,星期一二四五六:07:59,
3000,7,中壢區,配套路線3,中央西路1段11號 (世華銀行),星期一二四五六:08:12,星期一二四五六:08:12,
3001,8,中壢區,配套路線3,延平路電力公司旁,星期一二四五六:08:18,星期一二四五六:08:18,
3002,9,中壢區,配套路線3,交通隊、戶政,星期一二四五六:08:35,星期一二四五六:08:35,
3003,10,中壢區,配套路線3,東興街56號,星期一二四五六:09:00,星期一二四五六:09:00,
3004,11,中壢區,配套路線3,龍岡路1段43號,星期一二四五六:09:20,星期一二四五六:09:20,
3005,12,中壢區,配套路線3,龍岡路 龍門街口,星期一二四五六:09:37,星期一二四五六:09:37,
3006,13,中壢區,配套路線3,龍德路9號,星期一二四五六:09:52,星期一二四五六:09:52,
3007,14,中壢區,配套路線3,龍東路264巷,星期一二四五六:09:57,星期一二四五六:09:57,
3008,15,中壢區,配套路線3,龍江街停車場空地,星期一二四五六:10:07,星期一二四五六:10:07,
3009,16,中壢區,配套路線3,後興路96號,星期一二四五六:10:22,星期一二四五六:10:22,
3010,17,中壢區,配套路線3,龍安五街131號,星期一二四五六:10:25,星期一二四五六:10:25,
3011,18,中壢區,配套路線3,龍慈路22號前,星期一二四五六:10:29,星期一二四五六:10:29,
3012,19,中壢區,配套路線3,大仁二街48號,星期一二四五六:10:35,星期一二四五六:10:35,
3013,20,中壢區,配套路線3,治平街與協同街口,星期一二四五六:10:41,星期一二四五六:10:41,
3014,21,中壢區,配套路線3,新中北路188號,星期一二四五六:10:50,星期一二四五六:10:50,
3015,1,中壢區,配套路線4,華美一路28號(篤行),星期一二四五六:07:02,星期一二四五六:07:02,
3016,2,中壢區,配套路線4,忠義路忠信路口,星期一二四五六:07:35,星期一二四五六:07:35,
3017,3,中壢區,配套路線4,永泰街108號對面,星期一二四五六:07:55,星期一二四五六:07:55,
3018,4,中壢區,配套路線4,中山路57號(高橋証卷後方),星期一二四五六:08:10,星期一二四五六:08:10,
3019,5,中壢區,配套路線4,中山路復興路口,星期一二四五六:08:20,星期一二四五六:08:20,
3020,6,中壢區,配套路線4,中正路建國路口,星期一二四五六:08:26,星期一二四五六:08:26,
3021,7,中壢區,配套路線4,興建街（中正路97巷口）,星期一二四五六:08:33,星期一二四五六:08:33,
3022,8,中壢區,配套路線4,財星大樓,星期一二四五六:08:47,星期一二四五六:08:47,
3023,9,中壢區,配套路線4,義民路明德南路口,星期一二四五六:09:15,星期一二四五六:09:15,
3024,10,中壢區,配套路線4,廣明路榮星醫院前,星期一二四五六:09:27,星期一二四五六:09:27,
3025,11,中壢區,配套路線4,新榮街葉昇大樓對面,星期一二四五六:09:37,星期一二四五六:09:37,
3026,12,中壢區,配套路線4,義民路中新東路口,星期一二四五六:09:50,星期一二四五六:09:50,
3027,13,中壢區,配套路線4,中豐路(中山路386巷口),星期一二四五六:10:02,星期一二四五六:10:02,
3028,14,中壢區,配套路線4,中央西路一76號對面,星期一二四五六:10:15,星期一二四五六:10:15,
3029,15,中壢區,配套路線4,兒童公園,星期一二四五六:10:18,星期一二四五六:10:18,
3030,16,中壢區,配套路線4,南園二路358巷口,星期一二四五六:10:25,星期一二四五六:10:25,
3031,17,中壢區,配套路線4,忠福路662號,星期一二四五六:10:40,星期一二四五六:10:40,
3032,18,中壢區,配套路線4,忠福路450號,星期一二四五六:10:46,星期一二四五六:10:46,
3033,19,中壢區,配套路線4,西園路36巷口,星期一二四五六:10:53,星期一二四五六:10:53,
3034,20,中壢區,配套路線4,忠福國小,星期一二四五六:11:00,星期一二四五六:11:00,
3035,1,中壢區,路三班  第15區,三有別莊,星期一二四五六:16:25,星期一二四五六:16:25,星期一四六:16:25
3036,2,中壢區,路三班  第15區,大享別莊,星期一二四五六:16:30,星期一二四五六:16:30,星期一四六:16:30
3037,3,中壢區,路三班  第15區,豪是登堡,星期一二四五六:16:48,星期一二四五六:16:48,星期一四六:16:48
3038,4,中壢區,路三班  第15區,大享街,星期一二四五六:16:50,星期一二四五六:16:50,星期一四六:16:50
3039,5,中壢區,路三班  第15區,聖德路(財神廟),星期一二四五六:17:10,星期一二四五六:17:10,星期一四六:17:10
3040,6,中壢區,路三班  第15區,圓光寺,星期一二四五六:17:23,星期一二四五六:17:23,星期一四六:17:23
3041,7,中壢區,路三班  第15區,聖德路至大園交界,星期一二四五六:17:33,星期一二四五六:17:33,星期一四六:17:33
3042,8,中壢區,路三班  第15區,內厝八路  新市達社區,星期一二四五六:17:45,星期一二四五六:17:45,星期一四六:17:45
3043,9,中壢區,路三班  第15區,內厝八路272巷,星期一二四五六:18:05,星期一二四五六:18:05,星期一四六:18:05
3044,10,中壢區,路三班  第15區,福祥路與內厝八路,星期一二四五六:18:10,星期一二四五六:18:10,星期一四六:18:10
3045,11,中壢區,路三班  第15區,福祥路168社區,星期一二四五六:18:13,星期一二四五六:18:13,星期一四六:18:13
3046,12,中壢區,路三班  第15區,福全路6巷口,星期一二四五六:18:20,星期一二四五六:18:20,星期一四六:18:20
3047,13,中壢區,路三班  第15區,福全路240巷口,星期一二四五六:18:22,星期一二四五六:18:22,星期一四六:18:22
3048,14,中壢區,路三班  第15區,福祥路一段488號,星期一二四五六:18:25,星期一二四五六:18:25,星期一四六:18:25
3049,15,中壢區,路三班  第15區,水雲居,星期一二四五六:18:27,星期一二四五六:18:27,星期一四六:18:27
3050,16,中壢區,路三班  第15區,山東路,星期一二四五六:18:35,星期一二四五六:18:35,星期一四六:18:35
3051,17,中壢區,路三班  第15區,少爺別莊,星期一二四五六:18:40,星期一二四五六:18:40,星期一四六:18:40
3052,18,中壢區,路三班  第15區,山東ㄧ路：山東國小,星期一二四五六:18:43,星期一二四五六:18:43,星期一四六:18:43
3053,19,中壢區,路三班  第15區,月眉路一段(大崙國中),星期一二四五六:19:15,星期一二四五六:19:15,星期一四六:19:15
3054,20,中壢區,路三班  第15區,月眉路二段352號,星期一二四五六:19:25,星期一二四五六:19:25,星期一四六:19:25
3055,21,中壢區,路三班  第15區,月眉路三段至大園交界,星期一二四五六:19:35,星期一二四五六:19:35,星期一四六:19:35
3056,22,中壢區,路三班  第15區,青山一路402號.月福路口,星期一二四五六:19:43,星期一二四五六:19:43,星期一四六:19:43
3057,23,中壢區,路三班  第15區,月眉路11號,星期一二四五六:19:50,星期一二四五六:19:50,星期一四六:19:50
3058,1,中壢區,路三班  第16區,水清路,星期一二四五六:16:30,星期一二四五六:16:30,星期一四五:16:30
3059,2,中壢區,路三班  第16區,中豐北路二段707號~399號,星期一二四五六:16:55,星期一二四五六:16:55,星期一四五:16:55
3060,3,中壢區,路三班  第16區,啟文路236巷：笆里活動中心,星期一二四五六:17:00,星期一二四五六:17:00,星期一四五:17:00
3061,4,中壢區,路三班  第16區,圓光路25號,星期一二四五六:17:05,星期一二四五六:17:05,星期一四五:17:05
3062,5,中壢區,路三班  第16區,高鐵南路三段135巷36弄,星期一二四五六:17:10,星期一二四五六:17:10,星期一四五:17:10
3063,6,中壢區,路三班  第16區,中豐北路二段721巷,星期一二四五六:17:13,星期一二四五六:17:13,星期一四五:17:13
3064,7,中壢區,路三班  第16區,啟文路一段,星期一二四五六:17:15,星期一二四五六:17:15,星期一四五:17:15
3065,8,中壢區,路三班  第16區,啟文路二段158巷口,星期一二四五六:17:20,星期一二四五六:17:20,星期一四五:17:20
3066,9,中壢區,路三班  第16區,啟文路二段350巷口,星期一二四五六:17:25,星期一二四五六:17:25,星期一四五:17:25
3067,10,中壢區,路三班  第16區,五聖路225號,星期一二四五六:17:28,星期一二四五六:17:28,星期一四五:17:28
3068,11,中壢區,路三班  第16區,啟文路三段26號,星期一二四五六:17:35,星期一二四五六:17:35,星期一四五:17:35
3069,12,中壢區,路三班  第16區,大圳路一段1166號,星期一二四五六:17:40,星期一二四五六:17:40,星期一四五:17:40
3070,13,中壢區,路三班  第16區,東芝路55號,星期一二四五六:18:10,星期一二四五六:18:10,星期一四五:18:10
3071,14,中壢區,路三班  第16區,東芝路一段386巷(社區),星期一二四五六:18:20,星期一二四五六:18:20,星期一四五:18:20
3072,15,中壢區,路三班  第16區,三芝路217巷,星期一二四五六:18:25,星期一二四五六:18:25,星期一四五:18:25
3073,16,中壢區,路三班  第16區,民權路三段382巷,星期一二四五六:18:28,星期一二四五六:18:28,星期一四五:18:28
3074,17,中壢區,路三班  第16區,三民里2鄰3號,星期一二四五六:18:30,星期一二四五六:18:30,星期一四五:18:30
3075,18,中壢區,路三班  第16區,民權路三段75巷135號,星期一二四五六:18:35,星期一二四五六:18:35,星期一四五:18:35
3076,19,中壢區,路三班  第16區,三民里4鄰,星期一二四五六:18:45,星期一二四五六:18:45,星期一四五:18:45
3077,20,中壢區,路三班  第16區,三民里10鄰,星期一二四五六:18:50,星期一二四五六:18:50,星期一四五:18:50
3078,21,中壢區,路三班  第16區,民權路三段75巷422號社區,星期一二四五六:19:00,星期一二四五六:19:00,星期一四五:19:00
3079,22,中壢區,路三班  第16區,三民里5鄰,星期一二四五六:19:10,星期一二四五六:19:10,星期一四五:19:10
3080,23,中壢區,路三班  第16區,中正路二段1號.河南路,星期一二四五六:19:13,星期一二四五六:19:13,星期一四五:19:13
3081,24,中壢區,路三班  第16區,中正路1095巷,星期一二四五六:19:25,星期一二四五六:19:25,星期一四五:19:25
3082,25,中壢區,路三班  第16區,中正路1062巷,星期一二四五六:19:30,星期一二四五六:19:30,星期一四五:19:30
3083,26,中壢區,路三班  第16區,志廣路263巷,星期一二四五六:19:55,星期一二四五六:19:55,星期一四五:19:55
3084,1,中壢區,路三班  第17區,延平路90巷,星期一二四五六:18:00,星期一二四五六:18:00,星期一五六:18:00
3085,2,中壢區,路三班  第17區,環北路與福州路口,星期一二四五六:18:05,星期一二四五六:18:05,星期一五六:18:05
3086,3,中壢區,路三班  第17區,福壽一街,星期一二四五六:18:10,星期一二四五六:18:10,星期一五六:18:10
3087,4,中壢區,路三班  第17區,福壽二街,星期一二四五六:18:15,星期一二四五六:18:15,星期一五六:18:15
3088,5,中壢區,路三班  第17區,環北路463巷,星期一二四五六:18:20,星期一二四五六:18:20,星期一五六:18:20
3089,6,中壢區,路三班  第17區,環北路與新生路口,星期一二四五六:18:30,星期一二四五六:18:30,星期一五六:18:30
3090,7,中壢區,路三班  第17區,新生路798號,星期一二四五六:18:41,星期一二四五六:18:41,星期一五六:18:41
3091,8,中壢區,路三班  第17區,新生路（台電）,星期一二四五六:18:43,星期一二四五六:18:43,星期一五六:18:43
3092,9,中壢區,路三班  第17區,環北路89號,星期一二四五六:18:50,星期一二四五六:18:50,星期一五六:18:50
3093,10,中壢區,路三班  第17區,環北路與民族路口,星期一二四五六:18:55,星期一二四五六:18:55,星期一五六:18:55
3094,11,中壢區,路三班  第17區,家興社區（民權路）,星期一二四五六:19:00,星期一二四五六:19:00,星期一五六:19:00
3095,12,中壢區,路三班  第17區,環西路二段413號,星期一二四五六:19:03,星期一二四五六:19:03,星期一五六:19:03
3096,13,中壢區,路三班  第17區,環西路二段83巷,星期一二四五六:19:03,星期一二四五六:19:03,星期一五六:19:03
3097,14,中壢區,路三班  第17區,環西路二段71巷,星期一二四五六:19:12,星期一二四五六:19:12,星期一五六:19:12
3098,15,中壢區,路三班  第17區,環西路二段25巷,星期一二四五六:19:15,星期一二四五六:19:15,星期一五六:19:15
3099,16,中壢區,路三班  第17區,中正路782號,星期一二四五六:19:20,星期一二四五六:19:20,星期一五六:19:20
3100,17,中壢區,路三班  第17區,五福街,星期一二四五六:19:25,星期一二四五六:19:25,星期一五六:19:25
3101,18,中壢區,路三班  第17區,志廣路250號,星期一二四五六:19:30,星期一二四五六:19:30,星期一五六:19:30
3102,19,中壢區,路三班  第17區,中正路965號,星期一二四五六:19:40,星期一二四五六:19:40,星期一五六:19:40
3103,20,中壢區,路三班  第17區,中大路,星期一二四五六:19:50,星期一二四五六:19:50,星期一五六:19:50
3104,21,中壢區,路三班  第17區,中大路213巷,星期一二四五六:19:55,星期一二四五六:19:55,星期一五六:19:55
3105,22,中壢區,路三班  第17區,志廣路263號,星期一二四五六:19:58,星期一二四五六:19:58,星期一五六:19:58
3106,23,中壢區,路三班  第17區,環西路與民族路口,星期一二四五六:20:00,星期一二四五六:20:00,星期一五六:20:00
3107,24,中壢區,路三班  第17區,民族路與正大街,星期一二四五六:20:00,星期一二四五六:20:00,星期一五六:20:00
3108,25,中壢區,路三班  第17區,民族路二段232巷口,星期一二四五六:20:10,星期一二四五六:20:10,星期一五六:20:10
3109,1,中壢區,路二班  第13區,榮民南路260巷,星期一二四五六:17:00,星期一二四五六:17:00,星期二四五六:17:00
3110,2,中壢區,路二班  第13區,榮民南路296巷,星期一二四五六:17:03,星期一二四五六:17:03,星期二四五六:17:03
3111,3,中壢區,路二班  第13區,榮民南路489巷,星期一二四五六:17:08,星期一二四五六:17:08,星期二四五六:17:08
3112,4,中壢區,路二班  第13區,中山東路一段(中原陸橋下),星期一二四五六:17:25,星期一二四五六:17:25,星期二四五六:17:25
3113,5,中壢區,路二班  第13區,中山東路一段276巷(黃昏市場),星期一二四五六:17:30,星期一二四五六:17:30,星期二四五六:17:30
3114,6,中壢區,路二班  第13區,大勇二街,星期一二四五六:17:45,星期一二四五六:17:45,星期二四五六:17:45
3115,7,中壢區,路二班  第13區,大勇三街,星期一二四五六:17:50,星期一二四五六:17:50,星期二四五六:17:50
3116,8,中壢區,路二班  第13區,民治二街,星期一二四五六:17:52,星期一二四五六:17:52,星期二四五六:17:52
3117,9,中壢區,路二班  第13區,民治街,星期一二四五六:17:55,星期一二四五六:17:55,星期二四五六:17:55
3118,10,中壢區,路二班  第13區,民享二街,星期一二四五六:17:57,星期一二四五六:17:57,星期二四五六:17:57
3119,11,中壢區,路二班  第13區,民享街,星期一二四五六:18:00,星期一二四五六:18:00,星期二四五六:18:00
3120,12,中壢區,路二班  第13區,嘉善街,星期一二四五六:18:03,星期一二四五六:18:03,星期二四五六:18:03
