桃園市龍潭區東龍路,269.0
桃園市觀音區中山路,268.0
桃園縣平鎮市南豐路,266
桃園縣中壢市普忠路,266
桃園市蘆竹區仁愛路,265.0
桃園市新屋區中華路,265.0
桃園市八德區桃德路,264.0
桃園縣龍潭鄉東龍路,262
桃園市龜山區文化三路,262.0
桃園市平鎮區德育路,259.0
桃園市中壢區吉林路,259.0
桃園縣平鎮市南東路,258
桃園縣蘆竹鄉海山路,258
桃園市桃園區大興西路三段,258.0
桃園市大園區中華路,255.0
桃園市龜山區復興一路,255.0
桃園縣大溪鎮埔頂路,254
桃園縣八德市桃德路,252
桃園市新屋區中山東路,252.0
桃園市平鎮區文化街,251.0
桃園市中壢區西園路,250.0
桃園縣八德市新生路,244
桃園縣中壢市健行路,244
桃園縣八德市中山路,244
桃園縣龍潭鄉神龍路,240
桃園縣中壢市文化路,238
桃園縣八德市桃鶯路,238
桃園縣大園鄉和平西路,238
桃園市中壢區普忠路,238.0
桃園市桃園區國際路一段,238.0
桃園市楊梅區文化街,237.0
桃園市蘆竹區大新路,237.0
桃園市桃園區中山東路,235.0
桃園縣八德市忠勇街,234
桃園縣八德市東勇北路,234
桃園縣大園鄉中華路,234
桃園市大園區五青路,234.0
桃園市中壢區後興路,232.0
桃園市八德區桃鶯路,231.0
桃園縣中壢市中豐路,230
桃園縣龜山鄉明德路,230
桃園市八德區新生路,230.0
桃園市大溪區信義路,228.0
桃園市蘆竹區中正北路,228.0
桃園縣中壢市後興路,226
桃園縣桃園市樹仁三街,226
桃園市桃園區寶山街,226.0
桃園市中壢區高鐵南路,226.0
桃園市楊梅區梅獅路,226.0
桃園縣桃園市力行路,224
桃園縣中壢市文中路,224
桃園縣蘆竹鄉新南路,222
桃園縣楊梅市梅獅路,222
桃園市龜山區東萬壽路,221.0
桃園縣大園鄉中山北路,220
桃園縣八德市福國北街,220
桃園縣中壢市吉林路,220
桃園縣桃園市宏昌六街,218
桃園縣中壢市中央東路,218
桃園市八德區義勇街,217.0
桃園縣平鎮市台66線路,216
桃園縣新屋鄉中山路,216
桃園市中壢區莊敬路,215.0
桃園縣龍潭鄉聖亭路八德段,214
桃園市中壢區龍昌路,214.0
桃園縣中壢市永福路,212
桃園市桃園區玉山街,212.0
桃園市平鎮區陸橋南路,212.0
桃園縣觀音鄉成功路,210
桃園縣平鎮市文化街,210
桃園市中壢區永福路,209.0
桃園縣桃園市國強一街,208
桃園縣中壢市合圳北路,206
桃園縣蘆竹鄉中山路,206
桃園市桃園區國強一街,206.0
桃園市八德區忠勇街,206.0
桃園縣蘆竹鄉南青路,204
桃園縣八德市福德一路,204
桃園市桃園區中正三街,204.0
桃園市龍潭區神龍路,204.0
桃園市中壢區健行路,204.0
桃園縣中壢市自強一路,202
桃園縣平鎮市中興路平鎮段,202
桃園縣八德市茄苳路,202
桃園市蘆竹區龍安街,202.0
桃園市八德區福德一路,201.0
桃園縣楊梅市秀才路,200
桃園市蘆竹區新南路,200.0
桃園市八德區重慶街,199.0
桃園市蘆竹區南青路,199.0
桃園市楊梅區中興路,198.0
桃園市桃園區大林路,197.0
桃園縣平鎮市快速路,196
桃園縣中壢市中豐北路,196
桃園縣桃園市中華路,196
桃園縣蘆竹鄉富國路,196
桃園縣大溪鎮信義路,196
桃園市大園區華興路,195.0
桃園縣大園鄉華興路,194
桃園縣龜山鄉光峰路,194
桃園市桃園區正光路,194.0
桃園市八德區福國街,192.0
桃園市桃園區樹仁三街,191.0
桃園市桃園區宏昌六街,191.0
桃園市蘆竹區中山路,191.0
桃園縣八德市義勇街,190
桃園縣中壢市普義路,190
桃園市龍潭區聖亭路八德段,190.0
桃園市桃園區中華路,189.0
桃園縣中壢市龍昌路,188
桃園市八德區東勇北路,188.0
桃園市大園區中山北路,187.0
桃園市中壢區志廣路,187.0
桃園縣楊梅市梅高路,186
桃園市中壢區中央東路,186.0
桃園縣龍潭鄉龍華路,184
桃園縣龍潭鄉成功路,184
桃園市桃園區大興西路一段,183.0
桃園縣楊梅市中山路,182
桃園縣蘆竹鄉中正北路,182
桃園縣復興鄉台7線,182
桃園市平鎮區振興西路,182.0
桃園市龜山區明德路,181.0
桃園市新屋區中山路,180.0
桃園縣龍潭鄉福龍路二段,178
桃園縣桃園市興邦路,172
桃園縣桃園市寶山街,172
桃園縣桃園市中正五街,170
桃園市八德區大興路,170.0
桃園市大溪區大鶯路,170.0
桃園市龍潭區龍華路,169.0
桃園縣新屋鄉中興路,168
桃園市蘆竹區文中路,167.0
桃園縣大園鄉台15線,166
桃園縣龜山鄉南上路,166
桃園市龜山區南上路,166.0
桃園縣龜山鄉建國東路,164
桃園縣龍潭鄉楊銅路,164
桃園市中壢區中福路,164.0
桃園市龍潭區龍源路,162.0
桃園市楊梅區秀才路,161.0
桃園市中壢區華勛街,161.0
桃園市平鎮區快速路,160.0
桃園市楊梅區民富路,159.0
桃園市蘆竹區南工路,159.0
桃園縣大園鄉台61線,158
桃園縣桃園市中山東路,158
桃園縣平鎮市振興西路,158
桃園縣蘆竹鄉新興街,158
桃園市平鎮區中興路平鎮段,158.0
桃園市蘆竹區油管路,158.0
桃園市楊梅區瑞溪路,158.0
桃園市楊梅區梅高路,157.0
桃園縣中壢市志廣路,156
桃園市平鎮區台66線路,156.0
桃園市楊梅區中山路,156.0
桃園市八德區龍南路,156.0
桃園縣桃園市大林路,154
桃園縣八德市大興路,154
桃園縣蘆竹鄉中興路,154
桃園縣楊梅市楊新北路,154
桃園縣龜山鄉頂興路,154
桃園縣蘆竹鄉龍安街,154
桃園市桃園區縣府路,153.0
桃園縣中壢市忠孝路,152
桃園縣大溪鎮大鶯路,152
桃園縣新屋鄉中華南路,152
桃園縣桃園市大智路,152
桃園市中壢區文中路,151.0
桃園縣楊梅市環東路,150
桃園縣龜山鄉文化七路,150
桃園市中壢區普義路,150.0
桃園縣大園鄉五青路,148
桃園縣龜山鄉自強東路,148
桃園縣八德市重慶街,148
桃園縣楊梅市瑞溪路,148
桃園縣桃園市建國東路,148
桃園市蘆竹區富國路,147.0
桃園縣蘆竹鄉忠孝西路,146
桃園縣龜山鄉青山路,146
桃園縣桃園市縣府路,146
桃園市大溪區石園路,146.0
桃園市桃園區中平路,146.0
桃園市中壢區領航南路,146.0
桃園市蘆竹區山林路,146.0
桃園縣龍潭鄉中豐路中山段,144
桃園縣八德市福國街,144
桃園市平鎮區三興路,144.0
桃園市平鎮區廣泰路,144.0
桃園市平鎮區振興路,144.0
桃園縣中壢市榮安一街,142
桃園縣楊梅鎮中山北路,142
桃園縣楊梅市校前路,142
桃園縣中壢市高鐵南路,142
桃園市蘆竹區中興路,142.0
桃園市楊梅區校前路,141.0
桃園縣桃園市新埔六街,140
桃園縣龜山鄉復興三路,140
桃園縣蘆竹鄉光明路,140
桃園市楊梅區中山南路,140.0
桃園市龜山區青山路,140.0
桃園市中壢區實踐路,140.0
桃園縣蘆竹鄉山林路,138
桃園縣八德市大福街,138
桃園縣中壢市華勛街,138
桃園縣蘆竹鄉南工路,138
桃園縣大溪鎮石園路,138
桃園縣楊梅市中興路,136
桃園市龍潭區中豐路中山段,136.0
桃園市桃園區中正五街,136.0
桃園市龍潭區楊銅路,136.0
桃園市平鎮區中庸路,135.0
桃園縣桃園市健行路,134
桃園縣中壢市中和路,132
桃園市平鎮區東豐路,132.0
桃園市中壢區東園路,132.0
桃園市中壢區領航北路,131.0
桃園市蘆竹區光明路,131.0
桃園市中壢區中和路,131.0
桃園縣中壢市莊敬路,130
桃園市八德區華康街,130.0
桃園市中壢區榮安一街,129.0
桃園市龍潭區福龍路二段,129.0
桃園縣桃園市延壽街,128
桃園市中壢區三光路,128.0
桃園市龍潭區民族路,127.0
桃園縣觀音鄉忠愛路,126
桃園縣平鎮市振興路,126
桃園市蘆竹區新興街,126.0
桃園縣大溪鎮台3線,124
桃園縣八德市龍南路,124
桃園縣平鎮市三興路,124
桃園市龜山區頂湖路,124.0
桃園市龜山區自強東路,123.0
桃園縣楊梅市高獅路,122
桃園市中壢區自強一路,122.0
桃園市桃園區國聖一街,121.0
桃園縣桃園市正光街,120
桃園市龜山區頂興路,120.0
桃園市平鎮區湧光路,120.0
桃園市龜山區建國東路,120.0
桃園市八德區和強路,120.0
桃園市蘆竹區文中路一段,119.0
桃園市大溪區中華路,119.0
桃園縣桃園市自強路,118
桃園縣蘆竹鄉六福路,118
桃園市桃園區自強路,118.0
桃園市桃園區上海路,118.0
桃園縣大溪鎮瑞安路,116
